loop,severity,reason,confidence,fault_count,reported_count,trigger_source,trigger_destination,matched_source,matched_destination,trigger_window_ns,probe_start_wall_ns,probe_end_wall_ns,matched_window_start_ns,matched_window_end_ns,matched_window_start_wall_ns,matched_window_end_wall_ns,trigger_bandwidth_gbps,probe_window_bandwidth_gbps,probe_bytes_mb,merged_bandwidth_gbps,baseline_bandwidth_gbps,baseline_bandwidth_gbps_bits,throughput_ratio,faults
1,P1,probe时刻命中业务窗 Host(NUMA 0) -> NPU 2 ; 业务窗吞吐 9.75 GB/s，加入probe流量后 19.38 GB/s ; 固定基线 200.00 Gbps (= 25.00 GB/s) ; 总吞吐仅达到基线 77.5%,65,2,2,Host(NUMA 0),NPU 2,Host(NUMA 0),NPU 2,716340590248402-716340618108459,1777455000604999936,1777455000616000000,716340590248402,716340618108459,1777455000589007723,1777455000616867780,9.75,9.75,256.00,19.38,25.00,200.00,0.775,[链路带宽异常] Host(NUMA 0) -> NPU 2 单链路带宽不足。 | [链路时延异常] Host(NUMA 0) -> NPU 2 单链路时延偏高。
2,P0,probe时刻命中业务窗 Host(NUMA 0) -> NPU 1 ; 业务窗吞吐 1.90 GB/s，加入probe流量后 5.65 GB/s ; 固定基线 200.00 Gbps (= 25.00 GB/s) ; 总吞吐仅达到基线 22.6%,90,2,2,Host(NUMA 0),NPU 1,Host(NUMA 0),NPU 1,716343760626298-716343832220179,1777455003769999872,1777455003780999936,716343760626298,716343832220179,1777455003759213599,1777455003830807480,1.90,1.90,256.00,5.65,25.00,200.00,0.226,[链路带宽异常] Host(NUMA 0) -> NPU 1 单链路带宽不足。 | [链路时延异常] Host(NUMA 0) -> NPU 1 单链路时延偏高。
