path_id,total,safe,unsafe
4013,2,2,0
8351,234,234,0
8898,22,22,0
12702,414,414,0
15738,601,601,0
18787,462,462,0
24721,20346,20346,0
25752,330,330,0
28801,20043,20043,0
30783,2,2,0
32085,314,314,0
33139,19655,19655,0
38170,19737,19737,0
39006,20376,20376,0
39472,666,666,0
45135,41,41,0
47117,147,147,0
48184,330,330,0
51197,1,1,0
51468,18940,18940,0
54504,508,508,0
55736,4,4,0
58584,20364,20364,0
61891,19337,19337,0
64518,330,330,0
