path_id,total,safe,unsafe
4013,2,1,1
8351,234,75,159
12702,414,129,285
15738,512,177,335
18787,462,144,318
24721,12764,7147,5617
25752,330,107,223
28801,12436,7047,5389
30783,2,1,1
32085,314,105,209
33139,12088,6957,5131
38170,12255,6991,5264
39006,12798,7191,5607
39472,666,209,457
45135,41,9,32
47117,147,46,101
48184,330,106,224
51197,1,0,1
51468,11336,6701,4635
54504,508,258,250
55736,4,4,0
58584,12782,7200,5582
61891,11912,6848,5064
64518,330,107,223
