Timestamp,CPU_Percent,Memory_MB,Memory_Percent
1770376669.562005,0.0,116.59765625,0.015069088506988092
1770376670.6599061,0.0,116.59765625,0.015069088506988092
1770376671.7630413,0.0,116.59765625,0.015069088506988092
1770376672.8630776,0.0,116.59765625,0.015069088506988092
1770376673.966777,0.0,116.59765625,0.015069088506988092
1770376675.067558,0.0,116.59765625,0.015069088506988092
1770376676.1689649,0.0,116.59765625,0.015069088506988092
1770376677.2760808,0.0,116.59765625,0.015069088506988092
1770376678.380158,0.0,116.59765625,0.015069088506988092
1770376679.4810066,0.0,116.59765625,0.015069088506988092
1770376680.5867162,0.0,116.59765625,0.015069088506988092
1770376681.696218,0.0,116.59765625,0.015069088506988092
1770376682.804721,0.0,116.59765625,0.015069088506988092
1770376683.913549,0.0,116.59765625,0.015069088506988092
1770376685.0221758,0.0,116.59765625,0.015069088506988092
1770376686.1379826,0.0,116.59765625,0.015069088506988092
1770376687.2462342,0.0,116.59765625,0.015069088506988092
1770376688.3587976,0.0,116.59765625,0.015069088506988092
1770376689.4715395,0.0,116.59765625,0.015069088506988092
1770376690.578686,0.0,116.59765625,0.015069088506988092
1770376691.6922872,0.0,116.59765625,0.015069088506988092
1770376692.8051975,0.0,116.59765625,0.015069088506988092
1770376693.9184449,0.0,116.59765625,0.015069088506988092
1770376695.0315197,0.0,116.59765625,0.015069088506988092
1770376696.1449778,0.0,116.59765625,0.015069088506988092
1770376697.258412,0.0,116.59765625,0.015069088506988092
1770376698.377271,0.0,116.59765625,0.015069088506988092
1770376699.4870658,0.0,116.59765625,0.015069088506988092
1770376700.59543,0.0,116.59765625,0.015069088506988092
1770376701.7043815,0.0,116.59765625,0.015069088506988092
1770376702.8121104,0.0,116.59765625,0.015069088506988092
1770376703.9203482,0.0,116.59765625,0.015069088506988092
1770376705.0353014,0.0,116.59765625,0.015069088506988092
1770376706.1444054,0.0,116.59765625,0.015069088506988092
1770376707.2543726,0.0,116.59765625,0.015069088506988092
1770376708.3634028,0.0,116.59765625,0.015069088506988092
1770376709.4781892,0.0,116.59765625,0.015069088506988092
1770376710.5880682,0.0,116.59765625,0.015069088506988092
1770376711.6973357,0.0,116.59765625,0.015069088506988092
1770376712.8059094,0.0,116.59765625,0.015069088506988092
1770376713.914853,0.0,116.59765625,0.015069088506988092
1770376715.0239005,0.0,116.59765625,0.015069088506988092
