precision,recall,false_safe_rate,brier_score,n,tp,fp,fn,tn,horizon,horizon_ns
0.6,0.7222,0.963,0.4898,162,78,52,30,2,500µs,500000
0.0,0.0,0.6625,0.6878,162,0,53,82,27,5.1ms,5100000
