WindowStart_ns,WindowEnd_ns,Source,Destination,Bytes_MB,Bandwidth_GBps,WindowStartWall_ns,WindowEndWall_ns,Duration_ms,Packet_Count
11246790589946940,11246790590912190,Host(NUMA 5),Device ?,16.00,17.38,1781444304165272730,1781444304166237980,0.965,1
11246790590958260,11246790591736400,Host(NUMA 5),Device ?,12.00,16.17,1781444304166239250,1781444304167017390,0.778,1
11246790590546810,11246790590870370,Host(NUMA 7),Device ?,4.00,12.96,1781444304165620700,1781444304165944260,0.324,1
11246790591060040,11246790591666450,Host(NUMA 6),Device ?,4.00,6.92,1781444304166107080,1781444304166713490,0.606,1
11246790591779000,11246790592102050,Host(NUMA 5),Device ?,4.00,12.98,1781444304166889870,1781444304167212920,0.323,1
11246790590908980,11246790591813930,Host(NUMA 7),Device ?,16.00,18.54,1781444304166468590,1781444304167373540,0.905,1
11246790591855250,11246790592795960,Host(NUMA 7),Device ?,16.00,17.83,1781444304167365700,1781444304168306410,0.941,1
11246790591718000,11246790592757810,Host(NUMA 6),Device ?,16.00,16.13,1781444304166801820,1781444304167841630,1.040,1
11246790592142750,11246790593044300,Host(NUMA 5),Device ?,16.00,18.61,1781444304167230000,1781444304168131550,0.902,1
11246790592842110,11246790593594190,Host(NUMA 7),Device ?,12.00,16.73,1781444304167914510,1781444304168666590,0.752,1
11246790592813960,11246790593767890,Host(NUMA 6),Device ?,16.00,17.59,1781444304168012160,1781444304168966090,0.954,1
11246790593091740,11246790593992410,Host(NUMA 5),Device ?,16.00,18.63,1781444304168350410,1781444304169251080,0.901,1
11246790594039790,11246790594701850,Host(NUMA 5),Device ?,12.00,19.01,1781444304169337200,1781444304169999260,0.662,1
11246790593820210,11246790594582870,Host(NUMA 6),Device ?,12.00,16.50,1781444304168950160,1781444304169712820,0.763,1
11246790593639790,11246790593959160,Host(NUMA 7),Device ?,4.00,13.13,1781444304169110610,1781444304169429980,0.319,1
