timestamp,path_id,bandwidth_gbps,is_degraded
1781253131.290,40797,17.90,0
1781253131.298,40797,20.30,0
1781253131.308,40797,15.80,0
1781253131.320,40797,15.50,0
1781253131.328,40797,20.10,0
1781253131.338,40797,15.60,0
1781253131.349,40797,20.30,0
1781253132.398,18787,11.60,1
1781253132.408,18787,20.40,0
1781253132.416,18787,20.40,0
1781253132.424,18787,20.30,0
1781253132.434,18787,20.20,0
1781253132.442,18787,20.40,0
1781253132.450,18787,20.40,0
1781253133.792,8351,20.30,0
1781253133.804,8351,13.60,1
1781253133.812,8351,20.40,0
1781253133.820,8351,20.40,0
1781253133.831,8351,14.20,0
1781253133.839,8351,20.40,0
1781253133.847,8351,20.40,0
1781253133.856,8351,16.80,0
1781253133.867,8351,15.20,0
1781253133.875,8351,20.30,0
1781253134.944,45135,18.60,0
1781253134.953,45135,19.30,0
1781253134.961,45135,18.90,0
1781253134.971,45135,16.70,0
1781253134.982,45135,14.40,0
1781253134.990,45135,20.00,0
1781253134.998,45135,20.40,0
1781253135.009,45135,14.20,0
1781253135.017,45135,19.90,0
1781253135.025,45135,20.30,0
1781253137.420,8351,19.50,0
1781253137.429,8351,18.40,0
1781253137.438,8351,19.80,0
1781253137.448,8351,15.80,0
1781253137.458,8351,14.50,0
1781253137.466,8351,20.40,0
1781253137.475,8351,20.50,0
1781253137.485,8351,14.40,0
1781253137.494,8351,20.30,0
1781253137.502,8351,20.00,0
1781253138.546,51197,20.50,0
1781253138.554,51197,19.50,0
1781253138.562,51197,20.40,0
1781253138.570,51197,20.50,0
1781253138.578,51197,20.60,0
1781253138.587,51197,20.40,0
1781253138.595,51197,20.60,0
1781253138.603,51197,20.40,0
1781253198.329,51197,18.30,0
1781253310.199,20176,7.80,1
1781253310.230,20176,8.30,1
1781253311.253,35121,20.00,0
1781253311.273,35121,17.90,0
1781253312.297,35121,10.70,1
1781253312.310,35121,11.50,1
1781253312.319,35121,19.60,0
1781253312.335,35121,9.30,1
1781253312.344,35121,17.70,0
1781253312.355,35121,14.10,0
