bin_lower,bin_upper,confidence,accuracy,count,proportion,horizon_ns,horizon_label
0.0,0.1,0.05,0.0,0,0.0,50000,50µs(TINY)
0.1,0.2,0.15000000000000002,0.0,0,0.0,50000,50µs(TINY)
0.2,0.30000000000000004,0.25,0.0,0,0.0,50000,50µs(TINY)
0.30000000000000004,0.4,0.35000000000000003,0.0,0,0.0,50000,50µs(TINY)
0.4,0.5,0.45,0.0,0,0.0,50000,50µs(TINY)
0.5,0.6000000000000001,0.55,0.0,0,0.0,50000,50µs(TINY)
0.6000000000000001,0.7000000000000001,0.6500000000000001,0.0,0,0.0,50000,50µs(TINY)
0.7000000000000001,0.8,0.75,0.0,0,0.0,50000,50µs(TINY)
0.8,0.9,0.8500000000000001,0.0,0,0.0,50000,50µs(TINY)
0.9,1.0,1.0,1.0,15945,1.0,50000,50µs(TINY)
0.0,0.1,0.015171847641873175,0.003894080996884735,10272,0.6442144873000941,500000,500µs(NORMAL)
0.1,0.2,0.14557782051209536,0.04953560371517028,323,0.020257133897773595,500000,500µs(NORMAL)
0.2,0.30000000000000004,0.25062906987446937,0.09090909090909091,231,0.014487300094073377,500000,500µs(NORMAL)
0.30000000000000004,0.4,0.3449995149041134,0.23809523809523808,189,0.01185324553151458,500000,500µs(NORMAL)
0.4,0.5,0.45060903648323075,0.37572254335260113,173,0.010849796174349325,500000,500µs(NORMAL)
0.5,0.6000000000000001,0.54332750809657,0.5555555555555556,135,0.008466603951081843,500000,500µs(NORMAL)
0.6000000000000001,0.7000000000000001,0.6407690242385116,0.5784313725490197,102,0.006396989651928504,500000,500µs(NORMAL)
0.7000000000000001,0.8,0.7439058463757732,0.5757575757575758,66,0.004139228598306679,500000,500µs(NORMAL)
0.8,0.9,0.8637172307662502,0.8181818181818182,132,0.008278457196613359,500000,500µs(NORMAL)
0.9,1.0,0.9854056718369865,0.9969921332716335,4322,0.2710567576042647,500000,500µs(NORMAL)
0.0,0.1,0.016102541857679453,0.004531582354573199,10813,0.6781436186892443,5100000,5.1ms(BW)
0.1,0.2,0.13988756019694115,0.045283018867924525,530,0.03323925995609909,5100000,5.1ms(BW)
0.2,0.30000000000000004,0.24961283969931966,0.14741035856573706,251,0.015741611790529946,5100000,5.1ms(BW)
0.30000000000000004,0.4,0.34574179381005016,0.2947976878612717,173,0.010849796174349325,5100000,5.1ms(BW)
0.4,0.5,0.44727804341648375,0.4601226993865031,163,0.010222640326121041,5100000,5.1ms(BW)
0.5,0.6000000000000001,0.5534790454221805,0.5413533834586466,133,0.008341172781436187,5100000,5.1ms(BW)
0.6000000000000001,0.7000000000000001,0.6553001476282283,0.6190476190476191,105,0.00658513640639699,5100000,5.1ms(BW)
0.7000000000000001,0.8,0.7418417214751976,0.6846846846846847,111,0.00696142991533396,5100000,5.1ms(BW)
0.8,0.9,0.8587813154889402,0.9565217391304348,92,0.0057698338037002195,5100000,5.1ms(BW)
0.9,1.0,0.9836813534887469,0.9983212087297146,3574,0.22414550015678897,5100000,5.1ms(BW)
