PID,TID,Source,Destination,Size_MB,Latency_us,Bandwidth_GBps,Start_ns,End_ns,WallStart_ns,WallEnd_ns
2730429,2730429,Host(NUMA 4),NPU 0,259.00,19302.06,14.07,11427498141528990,11427498160831050,1781625011716649110,1781625011735951170
2730429,2730429,Host(NUMA 4),NPU 0,129.50,9955.05,13.64,11427498208398000,11427498218353050,1781625011783530540,1781625011793485590
2730429,2730429,Host(NUMA 4),NPU 0,0.01,76.68,0.09,11427498239907540,11427498239984220,1781625011815038250,1781625011815114930
2730429,2730429,Host(NUMA 4),NPU 0,0.01,56.18,0.13,11427498240104550,11427498240160730,1781625011815226270,1781625011815282450
2730429,2730429,Host(NUMA 4),NPU 0,31.50,2552.38,12.94,11427498240354400,11427498242906780,1781625011815436400,1781625011817988780
2730429,2730429,Host(NUMA 4),NPU 0,0.01,55.68,0.17,11427498248308680,11427498248364360,1781625011823426400,1781625011823482080
2730429,2730429,Host(NUMA 4),NPU 0,24.50,27892.11,0.92,11427498248545690,11427498276437800,1781625011823675830,1781625011851567940
2730429,2730429,Host(NUMA 4),NPU 0,259.00,18587.71,14.61,11427498277078840,11427498295666550,1781625011852196700,1781625011870784410
2730429,2730429,Host(NUMA 4),NPU 0,129.50,9978.26,13.61,11427498337953180,11427498347931440,1781625011913087570,1781625011923065830
2730429,2730429,Host(NUMA 4),NPU 0,0.01,78.49,0.09,11427498369663750,11427498369742240,1781625011944781640,1781625011944860130
2730429,2730429,Host(NUMA 4),NPU 0,0.01,57.87,0.12,11427498369850910,11427498369908780,1781625011944973060,1781625011945030930
2730429,2730429,Host(NUMA 4),NPU 0,31.50,2487.52,13.28,11427498370119570,11427498372607090,1781625011945202660,1781625011947690180
2730429,2730429,Host(NUMA 4),NPU 0,0.01,58.29,0.16,11427498377946040,11427498378004330,1781625011953062470,1781625011953120760
2730429,2730429,Host(NUMA 4),NPU 0,24.50,27749.83,0.93,11427498378194040,11427498405943870,1781625011953323140,1781625011981072970
2730429,2730429,Host(NUMA 4),NPU 0,259.00,18412.41,14.75,11427498406720400,11427498425132810,1781625011981838170,1781625012000250580
2730429,2730429,Host(NUMA 4),NPU 0,129.50,9765.11,13.91,11427498471914820,11427498481679930,1781625012047033230,1781625012056798340
2730429,2730429,Host(NUMA 3),NPU 0,0.01,90.41,0.08,11427498504019490,11427498504109900,1781625012079149850,1781625012079240260
2730429,2730429,Host(NUMA 4),NPU 0,0.01,153.18,0.05,11427498504231550,11427498504384730,1781625012079346800,1781625012079499980
2730429,2730429,Host(NUMA 4),NPU 0,31.50,2500.88,13.21,11427498504664530,11427498507165410,1781625012079778720,1781625012082279600
2730429,2730429,Host(NUMA 4),NPU 0,0.01,64.20,0.14,11427498512665290,11427498512729490,1781625012087784710,1781625012087848910
2730429,2730429,Host(NUMA 4),NPU 0,24.50,27510.28,0.93,11427498512915650,11427498540425930,1781625012088067270,1781625012115577550
2730429,2730429,Host(NUMA 4),NPU 0,259.00,18779.73,14.46,11427498541088380,11427498559868110,1781625012116213740,1781625012134993470
2730429,2730429,Host(NUMA 4),NPU 0,129.50,9709.38,13.99,11427498602032090,11427498611741470,1781625012177177340,1781625012186886720
2730429,2730429,Host(NUMA 4),NPU 0,0.01,76.26,0.09,11427498633337940,11427498633414200,1781625012208459370,1781625012208535630
2730429,2730429,Host(NUMA 4),NPU 0,0.01,59.72,0.12,11427498633520300,11427498633580020,1781625012208668850,1781625012208728570
2730429,2730429,Host(NUMA 4),NPU 0,31.50,2541.41,13.00,11427498633765970,11427498636307380,1781625012208851330,1781625012211392740
2730429,2730429,Host(NUMA 4),NPU 0,0.01,63.27,0.15,11427498641749660,11427498641812930,1781625012216891280,1781625012216954550
2730429,2730429,Host(NUMA 4),NPU 0,24.50,28236.89,0.91,11427498642000640,11427498670237530,1781625012217128470,1781625012245365360
2730429,2730429,Host(NUMA 4),NPU 0,259.00,17564.85,15.46,11427498671014020,11427498688578870,1781625012246158660,1781625012263723510
2730429,2730429,Host(NUMA 4),NPU 0,129.50,10045.95,13.52,11427498734400590,11427498744446540,1781625012309546620,1781625012319592570
2730429,2730429,Host(NUMA 4),NPU 0,0.01,85.01,0.08,11427498765997390,11427498766082400,1781625012341142030,1781625012341227040
2730429,2730429,Host(NUMA 4),NPU 0,0.01,50.72,0.14,11427498766190650,11427498766241370,1781625012341350190,1781625012341400910
2730429,2730429,Host(NUMA 4),NPU 0,31.50,2381.86,13.87,11427498766432420,11427498768814280,1781625012341536040,1781625012343917900
2730429,2730429,Host(NUMA 4),NPU 0,0.01,67.84,0.14,11427498774156820,11427498774224660,1781625012349274470,1781625012349342310
2730429,2730429,Host(NUMA 4),NPU 0,24.50,27311.89,0.94,11427498774405460,11427498801717350,1781625012349560120,1781625012376872010
2730429,2730429,Host(NUMA 4),NPU 0,259.00,16569.32,16.39,11427498802358760,11427498818928080,1781625012377474410,1781625012394043730
2730429,2730429,Host(NUMA 4),NPU 0,129.50,9120.73,14.89,11427498860157580,11427498869278310,1781625012435296740,1781625012444417470
2730429,2730429,Host(NUMA 4),NPU 0,0.01,75.28,0.10,11427498890472070,11427498890547350,1781625012465592850,1781625012465668130
2730429,2730429,Host(NUMA 4),NPU 0,0.01,56.61,0.13,11427498890652370,11427498890708980,1781625012465799510,1781625012465856120
2730429,2730429,Host(NUMA 4),NPU 0,31.50,2350.02,14.06,11427498890897320,11427498893247340,1781625012465981430,1781625012468331450
2730429,2730429,Host(NUMA 4),NPU 0,0.01,80.83,0.11,11427498898512230,11427498898593060,1781625012473655060,1781625012473735890
2730429,2730429,Host(NUMA 4),NPU 0,24.50,27317.24,0.94,11427498898780040,11427498926097280,1781625012473903290,1781625012501220530
2730429,2730429,Host(NUMA 4),NPU 0,259.00,16781.34,16.18,11427498926904880,11427498943686220,1781625012502044750,1781625012518826090
2730429,2730429,Host(NUMA 4),NPU 0,129.50,9273.08,14.64,11427498988875350,11427498998148430,1781625012563992840,1781625012573265920
2730429,2730429,Host(NUMA 4),NPU 0,0.01,76.24,0.09,11427499019492270,11427499019568510,1781625012594632050,1781625012594708290
2730429,2730429,Host(NUMA 4),NPU 0,0.01,56.90,0.13,11427499019677660,11427499019734560,1781625012594824540,1781625012594881440
2730429,2730429,Host(NUMA 4),NPU 0,31.50,2254.55,14.65,11427499019946260,11427499022200810,1781625012595048480,1781625012597303030
2730429,2730429,Host(NUMA 4),NPU 0,0.01,53.14,0.17,11427499027481720,11427499027534860,1781625012602599040,1781625012602652180
2730429,2730429,Host(NUMA 4),NPU 0,24.50,27968.04,0.92,11427499027731670,11427499055699710,1781625012602904350,1781625012630872390
2730429,2730429,Host(NUMA 4),NPU 0,259.00,16664.23,16.30,11427499056383280,11427499073047510,1781625012631501510,1781625012648165740
2730429,2730429,Host(NUMA 4),NPU 0,129.50,8972.00,15.13,11427499114174220,11427499123146220,1781625012689340220,1781625012698312220
2730429,2730429,Host(NUMA 4),NPU 0,0.01,82.62,0.09,11427499144148590,11427499144231210,1781625012719269090,1781625012719351710
2730429,2730429,Host(NUMA 4),NPU 0,0.01,50.85,0.14,11427499144339130,11427499144389980,1781625012719496110,1781625012719546960
2730429,2730429,Host(NUMA 4),NPU 0,31.50,2190.95,15.08,11427499144592180,11427499146783130,1781625012719674790,1781625012721865740
2730429,2730429,Host(NUMA 4),NPU 0,0.01,60.63,0.15,11427499152048390,11427499152109020,1781625012727185120,1781625012727245750
2730429,2730429,Host(NUMA 4),NPU 0,24.50,26793.76,0.96,11427499152306050,11427499179099810,1781625012727431090,1781625012754224850
2730429,2730429,Host(NUMA 4),NPU 0,259.00,16526.89,16.43,11427499179892170,11427499196419060,1781625012755031960,1781625012771558850
2730429,2730429,Host(NUMA 4),NPU 0,129.50,8899.94,15.26,11427499241604310,11427499250504250,1781625012816726170,1781625012825626110
2730429,2730429,Host(NUMA 4),NPU 0,0.01,79.27,0.09,11427499271665960,11427499271745230,1781625012846806600,1781625012846885870
2730429,2730429,Host(NUMA 4),NPU 0,0.01,53.08,0.14,11427499271854280,11427499271907360,1781625012847020250,1781625012847073330
2730429,2730429,Host(NUMA 4),NPU 0,31.50,2199.27,15.02,11427499272113720,11427499274312990,1781625012847216420,1781625012849415690
2730429,2730429,Host(NUMA 4),NPU 0,0.01,63.05,0.15,11427499279501360,11427499279564410,1781625012854620380,1781625012854683430
2730429,2730429,Host(NUMA 4),NPU 0,24.50,27125.09,0.95,11427499279747760,11427499306872850,1781625012854891400,1781625012882016490
2730429,2730429,Host(NUMA 4),NPU 0,259.00,16337.80,16.62,11427499307518080,11427499323855880,1781625012882646800,1781625012898984600
2730429,2730429,Host(NUMA 4),NPU 0,129.50,8750.02,15.52,11427499365098460,11427499373848480,1781625012940239830,1781625012948989850
