path_id,total,bw,normal,tiny,unsafe
4167,1,0,0,1,0
8351,1,0,0,1,0
12702,7,3,2,2,3
15738,3,2,0,1,1
18787,5,5,0,0,5
24721,156,48,56,52,72
25752,2,0,2,0,2
28801,186,60,68,58,81
30783,1,0,1,0,0
32085,1,0,1,0,1
33139,190,63,55,72,80
38170,221,76,68,77,97
39006,197,74,60,63,99
39472,7,3,0,4,2
46859,1,0,0,1,0
47117,1,0,1,0,1
48184,9,3,6,0,5
51468,185,49,79,57,83
54504,5,1,3,1,0
58584,228,72,95,61,112
61891,205,70,76,59,95
64518,2,0,1,1,1
