[Fri Jun 12 16:14:58 CST 2026] 等待 20 分钟建立基线...
[Fri Jun 12 16:14:58 CST 2026] === 第1次注入: 极限竞争 (1ms, 10min, BOTH) ===
✓ ProbeExecutor 初始化成功 (设备 0)
  Buffer 大小: 128 MB (probe_bandwidth 固定)
  间隔: 1 ms
  方向: BOTH

============================================================
带宽竞争注入器启动 (基于 ProbeExecutor)
  按 Ctrl+C 停止
============================================================
  [36.3s] 4450 copies, 556.25 GB, avg 15.32 GB/s
  [36.7s] 4500 copies, 562.50 GB, avg 15.33 GB/s
  [37.1s] 4550 copies, 568.75 GB, avg 15.32 GB/s
  [37.5s] 4600 copies, 575.00 GB, avg 15.33 GB/s
  [37.9s] 4650 copies, 581.25 GB, avg 15.33 GB/s
  [38.4s] 4700 copies, 587.50 GB, avg 15.32 GB/s
  [38.7s] 4750 copies, 593.75 GB, avg 15.32 GB/s
  [39.2s] 4800 copies, 600.00 GB, avg 15.32 GB/s
  [39.6s] 4850 copies, 606.25 GB, avg 15.33 GB/s
  [40.0s] 4900 copies, 612.50 GB, avg 15.32 GB/s
  [40.4s] 4950 copies, 618.75 GB, avg 15.33 GB/s
  [40.8s] 5000 copies, 625.00 GB, avg 15.33 GB/s
  [41.2s] 5050 copies, 631.25 GB, avg 15.34 GB/s
  [41.6s] 5100 copies, 637.50 GB, avg 15.32 GB/s
  [42.0s] 5150 copies, 643.75 GB, avg 15.33 GB/s
  [42.4s] 5200 copies, 650.00 GB, avg 15.33 GB/s
  [42.8s] 5250 copies, 656.25 GB, avg 15.34 GB/s
  [43.2s] 5300 copies, 662.50 GB, avg 15.33 GB/s
  [43.6s] 5350 copies, 668.75 GB, avg 15.34 GB/s
  [44.0s] 5400 copies, 675.00 GB, avg 15.33 GB/s
  [44.4s] 5450 copies, 681.25 GB, avg 15.34 GB/s
  [44.8s] 5500 copies, 687.50 GB, avg 15.33 GB/s
  [45.2s] 5550 copies, 693.75 GB, avg 15.34 GB/s
  [45.6s] 5600 copies, 700.00 GB, avg 15.34 GB/s
  [46.0s] 5650 copies, 706.25 GB, avg 15.35 GB/s
  [46.4s] 5700 copies, 712.50 GB, avg 15.34 GB/s
  [46.8s] 5750 copies, 718.75 GB, avg 15.35 GB/s
  [47.2s] 5800 copies, 725.00 GB, avg 15.34 GB/s
  [47.7s] 5850 copies, 731.25 GB, avg 15.34 GB/s
  [48.1s] 5900 copies, 737.50 GB, avg 15.34 GB/s
  [48.5s] 5950 copies, 743.75 GB, avg 15.35 GB/s
  [48.9s] 6000 copies, 750.00 GB, avg 15.34 GB/s
  [49.3s] 6050 copies, 756.25 GB, avg 15.35 GB/s
  [49.7s] 6100 copies, 762.50 GB, avg 15.35 GB/s
  [50.1s] 6150 copies, 768.75 GB, avg 15.34 GB/s
  [50.5s] 6200 copies, 775.00 GB, avg 15.35 GB/s
  [50.9s] 6250 copies, 781.25 GB, avg 15.34 GB/s
  [51.3s] 6300 copies, 787.50 GB, avg 15.35 GB/s
  [51.7s] 6350 copies, 793.75 GB, avg 15.34 GB/s
  [52.1s] 6400 copies, 800.00 GB, avg 15.35 GB/s
  [52.5s] 6450 copies, 806.25 GB, avg 15.34 GB/s
  [52.9s] 6500 copies, 812.50 GB, avg 15.35 GB/s
