[Thu Jun 11 23:51:01 CST 2026] 等待 20 分钟建立基线...
[Thu Jun 11 23:51:01 CST 2026] === 第1次注入: 轻度拥塞 (20ms, 5min) ===
✓ ProbeExecutor 初始化成功 (设备 0)
  Buffer 大小: 128 MB (probe_bandwidth 固定)
  间隔: 20 ms
  方向: D2H

============================================================
带宽竞争注入器启动 (基于 ProbeExecutor)
  按 Ctrl+C 停止
============================================================
  [123.4s] 4450 copies, 556.25 GB, avg 4.51 GB/s
  [124.8s] 4500 copies, 562.50 GB, avg 4.51 GB/s
  [126.1s] 4550 copies, 568.75 GB, avg 4.51 GB/s
  [127.5s] 4600 copies, 575.00 GB, avg 4.51 GB/s
  [128.8s] 4650 copies, 581.25 GB, avg 4.51 GB/s
  [130.1s] 4700 copies, 587.50 GB, avg 4.51 GB/s
  [131.5s] 4750 copies, 593.75 GB, avg 4.52 GB/s
  [132.8s] 4800 copies, 600.00 GB, avg 4.52 GB/s
  [134.2s] 4850 copies, 606.25 GB, avg 4.52 GB/s
  [135.6s] 4900 copies, 612.50 GB, avg 4.52 GB/s
  [136.9s] 4950 copies, 618.75 GB, avg 4.52 GB/s
  [138.2s] 5000 copies, 625.00 GB, avg 4.52 GB/s
  [139.6s] 5050 copies, 631.25 GB, avg 4.52 GB/s
  [140.9s] 5100 copies, 637.50 GB, avg 4.52 GB/s
  [142.2s] 5150 copies, 643.75 GB, avg 4.53 GB/s
  [143.6s] 5200 copies, 650.00 GB, avg 4.53 GB/s
  [144.9s] 5250 copies, 656.25 GB, avg 4.53 GB/s
  [146.2s] 5300 copies, 662.50 GB, avg 4.53 GB/s
  [147.5s] 5350 copies, 668.75 GB, avg 4.53 GB/s
  [148.9s] 5400 copies, 675.00 GB, avg 4.53 GB/s
  [150.2s] 5450 copies, 681.25 GB, avg 4.54 GB/s
  [151.5s] 5500 copies, 687.50 GB, avg 4.54 GB/s
  [152.9s] 5550 copies, 693.75 GB, avg 4.54 GB/s
  [154.2s] 5600 copies, 700.00 GB, avg 4.54 GB/s
  [155.5s] 5650 copies, 706.25 GB, avg 4.54 GB/s
  [156.8s] 5700 copies, 712.50 GB, avg 4.54 GB/s
  [158.2s] 5750 copies, 718.75 GB, avg 4.54 GB/s
  [159.5s] 5800 copies, 725.00 GB, avg 4.55 GB/s
  [160.8s] 5850 copies, 731.25 GB, avg 4.55 GB/s
  [162.2s] 5900 copies, 737.50 GB, avg 4.55 GB/s
  [163.5s] 5950 copies, 743.75 GB, avg 4.55 GB/s
  [164.8s] 6000 copies, 750.00 GB, avg 4.55 GB/s
  [166.2s] 6050 copies, 756.25 GB, avg 4.55 GB/s
  [167.6s] 6100 copies, 762.50 GB, avg 4.55 GB/s
  [168.9s] 6150 copies, 768.75 GB, avg 4.55 GB/s
  [170.2s] 6200 copies, 775.00 GB, avg 4.55 GB/s
  [171.6s] 6250 copies, 781.25 GB, avg 4.55 GB/s
  [172.9s] 6300 copies, 787.50 GB, avg 4.55 GB/s
  [174.4s] 6350 copies, 793.75 GB, avg 4.55 GB/s
  [175.7s] 6400 copies, 800.00 GB, avg 4.55 GB/s
  [177.1s] 6450 copies, 806.25 GB, avg 4.55 GB/s
  [178.4s] 6500 copies, 812.50 GB, avg 4.55 GB/s
  [179.7s] 6550 copies, 818.75 GB, avg 4.56 GB/s
  [181.1s] 6600 copies, 825.00 GB, avg 4.56 GB/s
  [182.4s] 6650 copies, 831.25 GB, avg 4.56 GB/s
  [183.7s] 6700 copies, 837.50 GB, avg 4.56 GB/s
  [185.0s] 6750 copies, 843.75 GB, avg 4.56 GB/s
  [186.4s] 6800 copies, 850.00 GB, avg 4.56 GB/s
  [187.7s] 6850 copies, 856.25 GB, avg 4.56 GB/s
  [189.0s] 6900 copies, 862.50 GB, avg 4.56 GB/s
  [190.4s] 6950 copies, 868.75 GB, avg 4.56 GB/s
  [191.7s] 7000 copies, 875.00 GB, avg 4.56 GB/s
  [193.1s] 7050 copies, 881.25 GB, avg 4.56 GB/s
  [194.5s] 7100 copies, 887.50 GB, avg 4.56 GB/s
  [195.9s] 7150 copies, 893.75 GB, avg 4.56 GB/s
  [197.3s] 7200 copies, 900.00 GB, avg 4.56 GB/s
  [198.7s] 7250 copies, 906.25 GB, avg 4.56 GB/s
  [200.2s] 7300 copies, 912.50 GB, avg 4.56 GB/s
  [201.5s] 7350 copies, 918.75 GB, avg 4.56 GB/s
  [202.9s] 7400 copies, 925.00 GB, avg 4.56 GB/s
  [204.3s] 7450 copies, 931.25 GB, avg 4.56 GB/s
  [205.7s] 7500 copies, 937.50 GB, avg 4.56 GB/s
  [207.1s] 7550 copies, 943.75 GB, avg 4.56 GB/s
  [208.5s] 7600 copies, 950.00 GB, avg 4.56 GB/s
  [209.9s] 7650 copies, 956.25 GB, avg 4.56 GB/s
  [211.3s] 7700 copies, 962.50 GB, avg 4.56 GB/s
  [212.7s] 7750 copies, 968.75 GB, avg 4.55 GB/s
  [214.1s] 7800 copies, 975.00 GB, avg 4.55 GB/s
  [215.5s] 7850 copies, 981.25 GB, avg 4.55 GB/s
  [216.9s] 7900 copies, 987.50 GB, avg 4.55 GB/s
  [218.3s] 7950 copies, 993.75 GB, avg 4.55 GB/s
  [219.6s] 8000 copies, 1000.00 GB, avg 4.55 GB/s
  [221.0s] 8050 copies, 1006.25 GB, avg 4.55 GB/s
  [222.4s] 8100 copies, 1012.50 GB, avg 4.55 GB/s
  [223.8s] 8150 copies, 1018.75 GB, avg 4.55 GB/s
  [225.2s] 8200 copies, 1025.00 GB, avg 4.55 GB/s
  [226.6s] 8250 copies, 1031.25 GB, avg 4.55 GB/s
  [228.0s] 8300 copies, 1037.50 GB, avg 4.55 GB/s
  [229.4s] 8350 copies, 1043.75 GB, avg 4.55 GB/s
  [230.8s] 8400 copies, 1050.00 GB, avg 4.55 GB/s
  [232.2s] 8450 copies, 1056.25 GB, avg 4.55 GB/s
  [233.6s] 8500 copies, 1062.50 GB, avg 4.55 GB/s
  [235.0s] 8550 copies, 1068.75 GB, avg 4.55 GB/s
  [236.4s] 8600 copies, 1075.00 GB, avg 4.55 GB/s
  [237.8s] 8650 copies, 1081.25 GB, avg 4.55 GB/s
  [239.1s] 8700 copies, 1087.50 GB, avg 4.55 GB/s
  [240.5s] 8750 copies, 1093.75 GB, avg 4.55 GB/s
  [241.9s] 8800 copies, 1100.00 GB, avg 4.55 GB/s
  [243.3s] 8850 copies, 1106.25 GB, avg 4.55 GB/s
  [244.7s] 8900 copies, 1112.50 GB, avg 4.55 GB/s
  [246.1s] 8950 copies, 1118.75 GB, avg 4.55 GB/s
  [247.5s] 9000 copies, 1125.00 GB, avg 4.55 GB/s
  [248.9s] 9050 copies, 1131.25 GB, avg 4.55 GB/s
  [250.5s] 9100 copies, 1137.50 GB, avg 4.54 GB/s
  [251.9s] 9150 copies, 1143.75 GB, avg 4.54 GB/s
  [253.2s] 9200 copies, 1150.00 GB, avg 4.54 GB/s
  [254.6s] 9250 copies, 1156.25 GB, avg 4.54 GB/s
  [256.0s] 9300 copies, 1162.50 GB, avg 4.54 GB/s
  [257.4s] 9350 copies, 1168.75 GB, avg 4.54 GB/s
  [258.8s] 9400 copies, 1175.00 GB, avg 4.54 GB/s
  [260.2s] 9450 copies, 1181.25 GB, avg 4.54 GB/s
  [261.6s] 9500 copies, 1187.50 GB, avg 4.54 GB/s
  [263.0s] 9550 copies, 1193.75 GB, avg 4.54 GB/s
  [264.3s] 9600 copies, 1200.00 GB, avg 4.54 GB/s
  [265.7s] 9650 copies, 1206.25 GB, avg 4.54 GB/s
  [267.1s] 9700 copies, 1212.50 GB, avg 4.54 GB/s
  [268.5s] 9750 copies, 1218.75 GB, avg 4.54 GB/s
  [269.9s] 9800 copies, 1225.00 GB, avg 4.54 GB/s
  [271.3s] 9850 copies, 1231.25 GB, avg 4.54 GB/s
  [272.7s] 9900 copies, 1237.50 GB, avg 4.54 GB/s
  [274.1s] 9950 copies, 1243.75 GB, avg 4.54 GB/s
  [275.6s] 10000 copies, 1250.00 GB, avg 4.54 GB/s
  [276.9s] 10050 copies, 1256.25 GB, avg 4.54 GB/s
  [278.3s] 10100 copies, 1262.50 GB, avg 4.54 GB/s
  [279.7s] 10150 copies, 1268.75 GB, avg 4.54 GB/s
  [281.1s] 10200 copies, 1275.00 GB, avg 4.54 GB/s
  [282.5s] 10250 copies, 1281.25 GB, avg 4.54 GB/s
  [283.9s] 10300 copies, 1287.50 GB, avg 4.54 GB/s
  [285.3s] 10350 copies, 1293.75 GB, avg 4.53 GB/s
  [286.7s] 10400 copies, 1300.00 GB, avg 4.53 GB/s
  [288.1s] 10450 copies, 1306.25 GB, avg 4.53 GB/s
  [289.5s] 10500 copies, 1312.50 GB, avg 4.53 GB/s
  [290.8s] 10550 copies, 1318.75 GB, avg 4.53 GB/s
  [292.2s] 10600 copies, 1325.00 GB, avg 4.53 GB/s
  [293.6s] 10650 copies, 1331.25 GB, avg 4.53 GB/s
  [295.0s] 10700 copies, 1337.50 GB, avg 4.53 GB/s
  [296.4s] 10750 copies, 1343.75 GB, avg 4.53 GB/s
  [297.8s] 10800 copies, 1350.00 GB, avg 4.53 GB/s
  [299.2s] 10850 copies, 1356.25 GB, avg 4.53 GB/s

已达到持续时间 300 秒，停止注入

============================================================
带宽竞争注入统计
============================================================
  总 memcpy 次数: 10880
  总传输数据: 1360.00 GB
============================================================
✓ ProbeExecutor 已关闭
[Thu Jun 11 23:51:01 CST 2026] 第1次注入结束
[Thu Jun 11 23:51:01 CST 2026] 恢复正常 20 分钟...
[Thu Jun 11 23:51:01 CST 2026] === 第2次注入: 重度拥塞 (5ms, 5min) ===
✓ ProbeExecutor 初始化成功 (设备 0)
  Buffer 大小: 128 MB (probe_bandwidth 固定)
  间隔: 5 ms
  方向: D2H

============================================================
带宽竞争注入器启动 (基于 ProbeExecutor)
  按 Ctrl+C 停止
============================================================
  [0.6s] 50 copies, 6.25 GB, avg 9.91 GB/s
  [1.3s] 100 copies, 12.50 GB, avg 9.96 GB/s
  [1.9s] 150 copies, 18.75 GB, avg 10.07 GB/s
  [2.5s] 200 copies, 25.00 GB, avg 10.00 GB/s
  [3.1s] 250 copies, 31.25 GB, avg 9.98 GB/s
  [3.8s] 300 copies, 37.50 GB, avg 9.86 GB/s
  [4.4s] 350 copies, 43.75 GB, avg 9.85 GB/s
  [5.1s] 400 copies, 50.00 GB, avg 9.87 GB/s
  [5.7s] 450 copies, 56.25 GB, avg 9.91 GB/s
  [6.3s] 500 copies, 62.50 GB, avg 9.90 GB/s
  [6.9s] 550 copies, 68.75 GB, avg 9.90 GB/s
  [7.6s] 600 copies, 75.00 GB, avg 9.90 GB/s
  [8.2s] 650 copies, 81.25 GB, avg 9.91 GB/s
  [8.8s] 700 copies, 87.50 GB, avg 9.93 GB/s
  [9.4s] 750 copies, 93.75 GB, avg 9.93 GB/s
  [10.1s] 800 copies, 100.00 GB, avg 9.93 GB/s
  [10.7s] 850 copies, 106.25 GB, avg 9.92 GB/s
  [11.3s] 900 copies, 112.50 GB, avg 9.92 GB/s
  [12.0s] 950 copies, 118.75 GB, avg 9.93 GB/s
  [12.6s] 1000 copies, 125.00 GB, avg 9.94 GB/s
  [13.2s] 1050 copies, 131.25 GB, avg 9.94 GB/s
  [13.9s] 1100 copies, 137.50 GB, avg 9.92 GB/s
  [14.5s] 1150 copies, 143.75 GB, avg 9.92 GB/s
  [15.1s] 1200 copies, 150.00 GB, avg 9.92 GB/s
  [15.8s] 1250 copies, 156.25 GB, avg 9.92 GB/s
  [16.4s] 1300 copies, 162.50 GB, avg 9.93 GB/s
  [17.0s] 1350 copies, 168.75 GB, avg 9.93 GB/s
  [17.6s] 1400 copies, 175.00 GB, avg 9.93 GB/s
  [18.3s] 1450 copies, 181.25 GB, avg 9.92 GB/s
  [18.9s] 1500 copies, 187.50 GB, avg 9.92 GB/s
  [19.5s] 1550 copies, 193.75 GB, avg 9.92 GB/s
  [20.1s] 1600 copies, 200.00 GB, avg 9.93 GB/s
  [20.8s] 1650 copies, 206.25 GB, avg 9.92 GB/s
  [21.4s] 1700 copies, 212.50 GB, avg 9.92 GB/s
  [22.1s] 1750 copies, 218.75 GB, avg 9.92 GB/s
  [22.7s] 1800 copies, 225.00 GB, avg 9.92 GB/s
